"gene_id","gRNA_group","pair_type"
"AL589743.1","nt","negative_control"
"AL591438.2","nt","negative_control"
"AL662884.4","nt","negative_control"
"AL669831.1","nt","negative_control"
"AL669831.3","nt","negative_control"
"AL732372.2","nt","negative_control"
"AL772337.4","nt","negative_control"
"AL773545.3","nt","negative_control"
"ANKRD20A3","nt","negative_control"
"AP000347.1","nt","negative_control"
"AP000553.5","nt","negative_control"
"AP000769.1","nt","negative_control"
"AP000902.1","nt","negative_control"
"AP001267.5","nt","negative_control"
"AP002495.2","nt","negative_control"
"AP002956.1","nt","negative_control"
"AP002990.1","nt","negative_control"
"AP003108.2","nt","negative_control"
"AP006222.1","nt","negative_control"
"APOPT1","nt","negative_control"
"ASNA1","nt","negative_control"
"ATP5MD","nt","negative_control"
"ATP5MPL","nt","negative_control"
"B3GNT10","nt","negative_control"
"BX004987.1","nt","negative_control"
"BX255925.3","nt","negative_control"
"BX322639.1","nt","negative_control"
"C11orf74","nt","negative_control"
"C12orf45","nt","negative_control"
"C12orf49","nt","negative_control"
"C12orf65","nt","negative_control"
"C12orf66","nt","negative_control"
"C15orf41","nt","negative_control"
"C16orf58","nt","negative_control"
"C16orf70","nt","negative_control"
"C17orf51","nt","negative_control"
"C17orf53","nt","negative_control"
"C19orf24","nt","negative_control"
"C19orf57","nt","negative_control"
"C19orf66","nt","negative_control"
"C1orf61","nt","negative_control"
"C20orf194","nt","negative_control"
"C3orf67","nt","negative_control"
"C5orf30","nt","negative_control"
"C6orf106","nt","negative_control"
"C6orf203","nt","negative_control"
"C6orf48","nt","negative_control"
"C7orf43","nt","negative_control"
"C8orf59","nt","negative_control"
"C9orf135","nt","negative_control"
"C9orf16","nt","negative_control"
"C9orf3","nt","negative_control"
"C9orf66","nt","negative_control"
"CARS","nt","negative_control"
"CASC4","nt","negative_control"
"CCDC130","nt","negative_control"
"CCDC173","nt","negative_control"
"CCDC58","nt","negative_control"
"CCDC84","nt","negative_control"
"CENPBD1","nt","negative_control"
"CENPBD1P1","nt","negative_control"
"COL4A3BP","nt","negative_control"
"CR381653.2","nt","negative_control"
"CR381670.1","nt","negative_control"
"CR383656.13","nt","negative_control"
"CR392039.5","nt","negative_control"
"CXorf40A","nt","negative_control"
"CXorf40B","nt","negative_control"
"CXorf56","nt","negative_control"
"DARS","nt","negative_control"
"EEF1AKNMT","nt","negative_control"
"ELMSAN1","nt","negative_control"
"EPRS","nt","negative_control"
"FAM122A","nt","negative_control"
"FAM122B","nt","negative_control"
"FAM122C","nt","negative_control"
"FAM129A","nt","negative_control"
"FAM129B","nt","negative_control"
"FAM129C","nt","negative_control"
"FAM153C","nt","negative_control"
"FAM160A2","nt","negative_control"
"FAM160B1","nt","negative_control"
"FAM160B2","nt","negative_control"
"FAM173A","nt","negative_control"
"FAM192A","nt","negative_control"
"FAM19A2","nt","negative_control"
"FAM206A","nt","negative_control"
"FAM207A","nt","negative_control"
"FAM45A","nt","negative_control"
"FAM49A","nt","negative_control"
"FAM49B","nt","negative_control"
"FAM57A","nt","negative_control"
"FAM86C1","nt","negative_control"
"FGFR1OP","nt","negative_control"
"FOPNL","nt","negative_control"
"FUK","nt","negative_control"
"GARS","nt","negative_control"
"GATD3A","nt","negative_control"
"H1FX","nt","negative_control"
"H2AFV","nt","negative_control"
"H2AFX","nt","negative_control"
"H2AFY","nt","negative_control"
"H2AFZ","nt","negative_control"
"H3F3B","nt","negative_control"
"HARS","nt","negative_control"
"HIST1H1B","nt","negative_control"
"HIST1H1C","nt","negative_control"
"HIST1H1D","nt","negative_control"
"HIST1H1E","nt","negative_control"
"HIST1H2AB","nt","negative_control"
"HIST1H2AC","nt","negative_control"
"HIST1H2AE","nt","negative_control"
"HIST1H2AG","nt","negative_control"
"HIST1H2AH","nt","negative_control"
"HIST1H2AI","nt","negative_control"
"HIST1H2AL","nt","negative_control"
"HIST1H2BC","nt","negative_control"
"HIST1H2BD","nt","negative_control"
"HIST1H2BF","nt","negative_control"
"HIST1H2BG","nt","negative_control"
"HIST1H2BH","nt","negative_control"
"HIST1H2BJ","nt","negative_control"
"HIST1H2BK","nt","negative_control"
"HIST1H2BL","nt","negative_control"
"HIST1H2BN","nt","negative_control"
"HIST1H2BO","nt","negative_control"
"HIST1H3B","nt","negative_control"
"HIST1H3H","nt","negative_control"
"HIST1H4B","nt","negative_control"
"HIST1H4C","nt","negative_control"
"HIST1H4E","nt","negative_control"
"HIST1H4H","nt","negative_control"
"HIST1H4I","nt","negative_control"
"HIST2H2AB","nt","negative_control"
"HIST2H2AC","nt","negative_control"
"HIST2H2BE","nt","negative_control"
"HIST3H2A","nt","negative_control"
"HRASLS","nt","negative_control"
"HSPA14.1","nt","negative_control"
"IARS","nt","negative_control"
"ICK","nt","negative_control"
"IMPAD1","nt","negative_control"
"ISPD","nt","negative_control"
"KARS","nt","negative_control"
"KDELC1","nt","negative_control"
"KDELC2","nt","negative_control"
"KIAA0355","nt","negative_control"
"KIAA0391","nt","negative_control"
"KIAA0556","nt","negative_control"
"KIAA1257","nt","negative_control"
"KIAA1324L","nt","negative_control"
"KIAA1324","nt","negative_control"
"KIAA1841","nt","negative_control"
"KIF1BP","nt","negative_control"
"LARS","nt","negative_control"
"MARC1","nt","negative_control"
"MARCH2","nt","negative_control"
"MARCH3","nt","negative_control"
"MARCH5","nt","negative_control"
"MARCH6","nt","negative_control"
"MARCH7","nt","negative_control"
"MARCH8","nt","negative_control"
"MARCH9","nt","negative_control"
"MARS","nt","negative_control"
"MATR3.1","nt","negative_control"
"MPP5","nt","negative_control"
"MPP6","nt","negative_control"
"MTSS1L","nt","negative_control"
"NARS","nt","negative_control"
"NCBP2-AS2","nt","negative_control"
"NUPL2","nt","negative_control"
"PLA2G16","nt","negative_control"
"POLR2J3.1","nt","negative_control"
"PQLC1","nt","negative_control"
"PQLC2","nt","negative_control"
"PQLC3","nt","negative_control"
"QARS","nt","negative_control"
"RARRES3","nt","negative_control"
"RARS","nt","negative_control"
"RNF219","nt","negative_control"
"RPL9P9","nt","negative_control"
"RRNAD1","nt","negative_control"
"SARS","nt","negative_control"
"SEPT11","nt","negative_control"
"SEPT1","nt","negative_control"
"SEPT2","nt","negative_control"
"SEPT6","nt","negative_control"
"SEPT7","nt","negative_control"
"SEPT7P2","nt","negative_control"
"SEPT8","nt","negative_control"
"SEPT9","nt","negative_control"
"SSSCA1","nt","negative_control"
"TARSL2","nt","negative_control"
"TARS","nt","negative_control"
"TAZ","nt","negative_control"
"TBCE.1","nt","negative_control"
"TCTE3","nt","negative_control"
"TMEM136","nt","negative_control"
"TMEM159","nt","negative_control"
"TMEM173","nt","negative_control"
"TMEM189","nt","negative_control"
"TMEM206","nt","negative_control"
"TMEM56","nt","negative_control"
"TMEM8A","nt","negative_control"
"TMEM99","nt","negative_control"
"TSTA3","nt","negative_control"
"TWISTNB","nt","negative_control"
"VARS","nt","negative_control"
"WDR34","nt","negative_control"
"WDR60","nt","negative_control"
"WDR66","nt","negative_control"
"WDYHV1","nt","negative_control"
"WRB","nt","negative_control"
"YARS","nt","negative_control"
"Z97634.1","nt","negative_control"
"ZNF192P1","nt","negative_control"
"ZNF720","nt","negative_control"
"AC008770.4","nt","negative_control"
"AC010186.2","nt","negative_control"
"AC018709.1","nt","negative_control"
"AC018755.3","nt","negative_control"
"AC106795.1","nt","negative_control"
"AL772337.4","nt","negative_control"
"AP002495.2","nt","negative_control"
"B3GNT10","nt","negative_control"
"C15orf41","nt","negative_control"
"C19orf24","nt","negative_control"
"CR383656.13","nt","negative_control"
"FAM153C","nt","negative_control"
"HARS","nt","negative_control"
"HIST1H4I","nt","negative_control"
"LARS","nt","negative_control"
"SEPT1","nt","negative_control"
"VARS","nt","negative_control"
"AC002472.2","nt","negative_control"
"AC011481.1","nt","negative_control"
"AC011529.1","nt","negative_control"
"AC017083.3","nt","negative_control"
"AC244669.1","nt","negative_control"
"AL390719.1","nt","negative_control"
"B3GNT10","nt","negative_control"
"FUK","nt","negative_control"
"HIST1H2AI","nt","negative_control"
"HIST1H2BJ","nt","negative_control"
"HIST1H2BL","nt","negative_control"
"HIST1H4B","nt","negative_control"
"HIST2H2BE","nt","negative_control"
"KIAA1324","nt","negative_control"
"RPL9P9","nt","negative_control"
"SEPT7P2","nt","negative_control"
"TMEM56","nt","negative_control"
"WDR34","nt","negative_control"
"AC008026.1","nt","negative_control"
"AC010761.1","nt","negative_control"
"C7orf43","nt","negative_control"
"CR383656.13","nt","negative_control"
"CR392039.5","nt","negative_control"
"CXorf40B","nt","negative_control"
"DARS","nt","negative_control"
"FAM122A","nt","negative_control"
"HSPA14.1","nt","negative_control"
"MARCH3","nt","negative_control"
"MARCH6","nt","negative_control"
"SEPT8","nt","negative_control"
"TMEM136","nt","negative_control"
"WDR34","nt","negative_control"
"AC004556.1","nt","negative_control"
"AC018709.1","nt","negative_control"
"AC113398.1","nt","negative_control"
"CR381653.2","nt","negative_control"
"ELMSAN1","nt","negative_control"
"H2AFZ","nt","negative_control"
"KIAA1324","nt","negative_control"
"KIAA1841","nt","negative_control"
"TCTE3","nt","negative_control"
"AC026470.1","nt","negative_control"
"AC139256.1","nt","negative_control"
"AC240274.1","nt","negative_control"
"AC244636.2","nt","negative_control"
"AL390728.4","nt","negative_control"
"AL512646.1","nt","negative_control"
"AL669831.3","nt","negative_control"
"APOPT1","nt","negative_control"
"C16orf70","nt","negative_control"
"CCDC173","nt","negative_control"
"FAM160B1","nt","negative_control"
"FAM160B2","nt","negative_control"
"FAM207A","nt","negative_control"
"FAM57A","nt","negative_control"
"GARS","nt","negative_control"
"HIST1H2AH","nt","negative_control"
"ICK","nt","negative_control"
"KIAA0556","nt","negative_control"
"SEPT1","nt","negative_control"
"AC007950.1","nt","negative_control"
"AC009299.1","nt","negative_control"
"AC013394.1","nt","negative_control"
"AC064862.1","nt","negative_control"
"AC134878.2","nt","negative_control"
"AD000864.1","nt","negative_control"
"AF274858.1","nt","negative_control"
"AL512646.1","nt","negative_control"
"AL662884.4","nt","negative_control"
"AP000347.1","nt","negative_control"
"AP000902.1","nt","negative_control"
"C5orf30","nt","negative_control"
"FAM160B2","nt","negative_control"
"ICK","nt","negative_control"
"KIAA1324L","nt","negative_control"
"MARCH3","nt","negative_control"
"RNF219","nt","negative_control"
"SEPT8","nt","negative_control"
"AC007950.1","nt","negative_control"
"AC013394.1","nt","negative_control"
"AC017083.3","nt","negative_control"
"AC064862.1","nt","negative_control"
"AC098934.1","nt","negative_control"
"AC139769.1","nt","negative_control"
"AC239868.1","nt","negative_control"
"AL732372.2","nt","negative_control"
"ANKRD20A3","nt","negative_control"
"C11orf74","nt","negative_control"
"C8orf59","nt","negative_control"
"CENPBD1","nt","negative_control"
"ELMSAN1","nt","negative_control"
"FAM153C","nt","negative_control"
"H2AFY","nt","negative_control"
"HIST1H1D","nt","negative_control"
"HIST1H2AI","nt","negative_control"
"MARCH7","nt","negative_control"
"MARCH9","nt","negative_control"
"SEPT6","nt","negative_control"
"SSSCA1","nt","negative_control"
"TMEM56","nt","negative_control"
"AC018709.1","nt","negative_control"
"AC073349.2","nt","negative_control"
"AC106795.1","nt","negative_control"
"ATP5MPL","nt","negative_control"
"C6orf106","nt","negative_control"
"CARS","nt","negative_control"
"COL4A3BP","nt","negative_control"
"CR381670.1","nt","negative_control"
"FAM192A","nt","negative_control"
"KIAA1324","nt","negative_control"
"MARCH3","nt","negative_control"
"SARS","nt","negative_control"
"TARSL2","nt","negative_control"
"AC007950.1","nt","negative_control"
"AC008825.2","nt","negative_control"
"AC010761.1","nt","negative_control"
"AC090517.4","nt","negative_control"
"AC113398.1","nt","negative_control"
"AC118549.1","nt","negative_control"
"AC138393.1","nt","negative_control"
"AL356534.1","nt","negative_control"
"AL390719.1","nt","negative_control"
"CARS","nt","negative_control"
"HIST1H1C","nt","negative_control"
"HIST1H2AC","nt","negative_control"
"MARCH7","nt","negative_control"
"MATR3.1","nt","negative_control"
"WDR60","nt","negative_control"
"AC093323.1","nt","negative_control"
"AC245297.1","nt","negative_control"
"AL669831.1","nt","negative_control"
"C12orf65","nt","negative_control"
"CENPBD1","nt","negative_control"
"HIST2H2AB","nt","negative_control"
"HIST2H2BE","nt","negative_control"
"SEPT8","nt","negative_control"
"WDR34","nt","negative_control"
"WDYHV1","nt","negative_control"
"ZNRD1","nt","negative_control"
"H2AFY","rs75925066","candidate"
"SEPT2","rs773303298","candidate"
"WARS","rs5811007","candidate"
"C11orf95","rs2429454","candidate"
"CD3EAP","rs1065853","candidate"
"KIF1BP","rs17476364","candidate"
"H3F3A","rs9943081","candidate"
"MRPS5","nt","negative_control"
"MRPS5","nt","negative_control"
"PRRC2B","nt","negative_control"
"PRRC2B","nt","negative_control"
"PRRC2B","nt","negative_control"
"C8orf44","nt","negative_control"
"PRKACA","nt","negative_control"
"DDX51","nt","negative_control"
"DDX51","nt","negative_control"
"ELP5","nt","negative_control"
"NIPA1","nt","negative_control"
"CASP8AP2","nt","negative_control"
"CASP8AP2","nt","negative_control"
"SEMA7A","nt","negative_control"
"SEMA7A","nt","negative_control"
"DCAF15","nt","negative_control"
"DCAF15","nt","negative_control"
"HPS5","nt","negative_control"
"CLSTN3","nt","negative_control"
"CLSTN3","nt","negative_control"
"CLSTN3","nt","negative_control"
"UBL7","nt","negative_control"
"CTTN","nt","negative_control"
"EP400P1","nt","negative_control"
"RBP5","nt","negative_control"
"RBP5","nt","negative_control"
"C1GALT1C1","nt","negative_control"
"C1GALT1C1","nt","negative_control"
"C1GALT1C1","nt","negative_control"
"NDN","nt","negative_control"
"ARHGAP17","nt","negative_control"
"ARHGAP17","nt","negative_control"
"GPS2","nt","negative_control"
"GPS2","nt","negative_control"
"GPS2","nt","negative_control"
"ADGRL1","nt","negative_control"
"FAM86DP","nt","negative_control"
"PALM3","nt","negative_control"
"CTDNEP1","nt","negative_control"
"NEURL4","nt","negative_control"
"LDHA","nt","negative_control"
"MCTS1","nt","negative_control"
"CC2D1A","nt","negative_control"
"CLDN7","nt","negative_control"
"RFX1","nt","negative_control"
"RFX1","nt","negative_control"
"DNAJC18","nt","negative_control"
"PEX5","nt","negative_control"
"MCRIP1","nt","negative_control"
"MCRIP1","nt","negative_control"
"MCRIP1","nt","negative_control"
"ASF1B","nt","negative_control"
"ASF1B","nt","negative_control"
"WASH3P","nt","negative_control"
"LSP1","nt","negative_control"
"LSP1","nt","negative_control"
"PPFIA1","nt","negative_control"
"MISP3","nt","negative_control"
"MISP3","nt","negative_control"
"IL27RA","nt","negative_control"
"IL27RA","nt","negative_control"
"NOC4L","nt","negative_control"
"NOC4L","nt","negative_control"
"EIF5A","nt","negative_control"
"MRPL23","nt","negative_control"
"TNRC6A","nt","negative_control"
"TNRC6A","nt","negative_control"
"C1RL","nt","negative_control"
"MDN1","nt","negative_control"
"GLUD2","nt","negative_control"
"GTF2H1","nt","negative_control"
"DGAT1","nt","negative_control"
"TM9SF1","nt","negative_control"
"BCAR1","nt","negative_control"
"LTB4R","nt","negative_control"
"LTB4R","nt","negative_control"
"ADCK5","nt","negative_control"
"FBXL6","nt","negative_control"
"RNF187","nt","negative_control"
"RNF187","nt","negative_control"
"RNF187","nt","negative_control"
"XYLT1","nt","negative_control"
"ATP5IF1","nt","negative_control"
"ATP5IF1","nt","negative_control"
"NDUFS3","nt","negative_control"
"EMC9","nt","negative_control"
"EMC9","nt","negative_control"
"OOSP4A","nt","negative_control"
"OOSP4A","nt","negative_control"
"TNKS","nt","negative_control"
"LONRF1","nt","negative_control"
"PPP1R3B","nt","negative_control"
"VPS28","nt","negative_control"
"NOP9","nt","negative_control"
"NOP9","nt","negative_control"
"DNAJC8","nt","negative_control"
"DNAJC8","nt","negative_control"
"C6orf52","nt","negative_control"
"CHMP4A","nt","negative_control"
"CHMP4A","nt","negative_control"
"BOP1","nt","negative_control"
"MCPH1","nt","negative_control"
"MCPH1","nt","negative_control"
"MSRA","nt","negative_control"
"MSRA","nt","negative_control"
"NEDD8","nt","negative_control"
"SLC39A4","nt","negative_control"
"SLC39A4","nt","negative_control"
"SLC39A4","nt","negative_control"
"PCK2","nt","negative_control"
"PAK1IP1","nt","negative_control"
"GCNT2","nt","negative_control"
"GCNT2","nt","negative_control"
"PTPMT1","nt","negative_control"
"PTPMT1","nt","negative_control"
"PTPMT1","nt","negative_control"
"MDP1","nt","negative_control"
"MDP1","nt","negative_control"
"RABGGTA","nt","negative_control"
"FNBP4","nt","negative_control"
"ZFP1","nt","negative_control"
"MTCH2","nt","negative_control"
"SLC52A2","nt","negative_control"
"SLC52A2","nt","negative_control"
"ADIPOR2","nt","negative_control"
"SESN2","nt","negative_control"
"CPSF1","nt","negative_control"
"CPSF1","nt","negative_control"
"MTMR9","nt","negative_control"
"MTMR9","nt","negative_control"
"CHORDC1","nt","negative_control"
"CHORDC1","nt","negative_control"
"CHORDC1","nt","negative_control"
"MFHAS1","nt","negative_control"
"AGPAT5","nt","negative_control"
"FDFT1","nt","negative_control"
"FDFT1","rs1293303","candidate"
"MED18","nt","negative_control"
"TMEM14C","nt","negative_control"
"PSME1","nt","negative_control"
"TINF2","nt","negative_control"
"TINF2","nt","negative_control"
"TINF2","nt","negative_control"
"RUVBL1","nt","negative_control"
"RUVBL1","rs62270945","candidate"
"KBTBD4","nt","negative_control"
"PSME2","nt","negative_control"
"DHRS1","nt","negative_control"
"TDH","nt","negative_control"
"TDH","nt","negative_control"
"DCP1B","nt","negative_control"
"DCP1B","nt","negative_control"
"POLR2A","nt","negative_control"
"DHRS4","nt","negative_control"
"DHRS4","nt","negative_control"
"DHRS4","nt","negative_control"
"DCAF11","nt","negative_control"
"PTEN","nt","negative_control"
"HSF1","nt","negative_control"
"HSF1","nt","negative_control"
"PINX1","nt","negative_control"
"GMPR2","nt","negative_control"
"TMEM247","nt","negative_control"
"TMEM247","nt","negative_control"
"TMEM247","nt","negative_control"
"FLII","nt","negative_control"
"MGAT4B","nt","negative_control"
"MIEF2","nt","negative_control"
"MOSMO","nt","negative_control"
"SLC25A24","nt","negative_control"
"TBC1D9B","nt","negative_control"
"COG5","nt","negative_control"
"COG5","nt","negative_control"
"SHMT1","nt","negative_control"
"RUFY1","nt","negative_control"
"HNRNPH1","nt","negative_control"
"TOP3A","nt","negative_control"
"EEF2K","nt","negative_control"
"EEF2K","nt","negative_control"
"LLGL1","nt","negative_control"
"LLGL1","nt","negative_control"
"LLGL1","nt","negative_control"
"SMURF1","nt","negative_control"
"SMURF1","nt","negative_control"
"DUS4L","nt","negative_control"
"DUS4L","nt","negative_control"
"DUS4L","nt","negative_control"
"PRKAR2B","nt","negative_control"
"PRKAR2B","nt","negative_control"
"RFLNB","nt","negative_control"
"CHRNB1","nt","negative_control"
"CHRNB1","nt","negative_control"
"MRNIP","nt","negative_control"
"MRNIP","nt","negative_control"
"MRNIP","nt","negative_control"
"MRNIP","nt","negative_control"
"FGF11","nt","negative_control"
"FGF11","nt","negative_control"
"VPS53","nt","negative_control"
"ZBTB4","nt","negative_control"
"BCAP29","nt","negative_control"
"HBP1","nt","negative_control"
"HBP1","nt","negative_control"
"HBP1","nt","negative_control"
"MAML1","nt","negative_control"
"CANX","nt","negative_control"
"CANX","nt","negative_control"
"TMEM256","nt","negative_control"
"SMCR8","nt","negative_control"
"SMCR8","nt","negative_control"
"SMCR8","nt","negative_control"
"FAM238C","nt","negative_control"
"RPL23AP82","nt","negative_control"
"EXOC3L2","nt","negative_control"
"EXOC3L2","rs1065853","candidate"
"INO80D","nt","negative_control"
"NDUFS1","nt","negative_control"
"NDUFS1","nt","negative_control"
"EEF1B2","nt","negative_control"
"EEF1B2","nt","negative_control"
"EEF1B2","nt","negative_control"
"SARS2","nt","negative_control"
"SARS2","rs10415219","candidate"
"SIRT2","nt","negative_control"
"SIRT2","nt","negative_control"
"SIRT2","rs10415219","candidate"
"IBTK","nt","negative_control"
"ID3","nt","negative_control"
"KLLN","nt","negative_control"
"KLLN","nt","negative_control"
"KLLN","nt","negative_control"
"GTF2IP12","nt","negative_control"
"ZNF445","nt","negative_control"
"ATAD1","nt","negative_control"
"FRG1GP","nt","negative_control"
"FRG1GP","nt","negative_control"
"MRPS12","nt","negative_control"
"MRPS12","nt","negative_control"
"MRPS12","nt","negative_control"
"MRPS12","rs10415219","candidate"
"ZNF436","nt","negative_control"
"ZNF436","nt","negative_control"
"EIF3K","nt","negative_control"
"EIF3K","nt","negative_control"
"EIF3K","rs10415219","candidate"
"TBCE","nt","negative_control"
"HNRNPR","nt","negative_control"
"MAGI1","nt","negative_control"
"FBXO17","nt","negative_control"
"FBXO17","rs10415219","candidate"
"HNRNPL","nt","negative_control"
"HNRNPL","nt","negative_control"
"HNRNPL","rs10415219","candidate"
"NFKBIB","nt","negative_control"
"NFKBIB","nt","negative_control"
"NFKBIB","rs10415219","candidate"
"E2F2","nt","negative_control"
"B3GALNT2","nt","negative_control"
"BCL7A","nt","negative_control"
"FRG1DP","nt","negative_control"
"FRG1DP","nt","negative_control"
"FRG1DP","nt","negative_control"
"FRG1DP","nt","negative_control"
"FRG1DP","nt","negative_control"
"ASAP3","nt","negative_control"
"ASAP3","nt","negative_control"
"ECH1","nt","negative_control"
"ECH1","nt","negative_control"
"ECH1","rs10415219","candidate"
"ACTN4","nt","negative_control"
"ACTN4","nt","negative_control"
"ACTN4","rs10415219","candidate"
"PRSS21","nt","negative_control"
"FRG1CP","nt","negative_control"
"FRG1CP","nt","negative_control"
"CTIF","nt","negative_control"
"ARMC10","nt","negative_control"
"ARMC10","nt","negative_control"
"ARMC10","nt","negative_control"
"CTDP1","nt","negative_control"
"SLC25A26","nt","negative_control"
"SLC25A26","nt","negative_control"
"CORO7","nt","negative_control"
"DEAF1","nt","negative_control"
"ZC3H3","nt","negative_control"
"ERICH1","nt","negative_control"
"ERICH1","nt","negative_control"
"PDCD6IPP2","nt","negative_control"
"PDCD6IPP2","nt","negative_control"
"MEIOB","nt","negative_control"
"MAP3K14","nt","negative_control"
"WHAMMP2","nt","negative_control"
"WASH5P","nt","negative_control"
"HERC2P9","nt","negative_control"
"DTX2","nt","negative_control"
"PTDSS2","nt","negative_control"
"SERPINF1","nt","negative_control"
"SLC39A11","nt","negative_control"
"SLC39A11","nt","negative_control"
"ATP9B","nt","negative_control"
"ATP9B","nt","negative_control"
"ADAM9","nt","negative_control"
"ADAM9","nt","negative_control"
"PAM16","nt","negative_control"
"CAPN15","nt","negative_control"
"NSMCE3","nt","negative_control"
"MED16","nt","negative_control"
"MED16","nt","negative_control"
"PKD1P6","nt","negative_control"
"UBE2Q2P2","nt","negative_control"
"DPY19L2P2","nt","negative_control"
"GPI","nt","negative_control"
"MTRNR2L6","nt","negative_control"
"TUBGCP3","nt","negative_control"
"IGHVII-44-2","nt","negative_control"
"SLC16A1","nt","negative_control"
"ABO","nt","negative_control"
"RPS6KA1","nt","negative_control"
"RPS6KA1","rs4526602","candidate"
"SLC9A3","nt","negative_control"
"SLC9A3","nt","negative_control"
"MANSC1","nt","negative_control"
"KAT6B","nt","negative_control"
"DHX36","nt","negative_control"
"MCCC2","nt","negative_control"
"ZNF197","nt","negative_control"
"CABIN1","nt","negative_control"
"KIAA1143","nt","negative_control"
"ZNF501","nt","negative_control"
"ZNF852","nt","negative_control"
"ANKRD18DP","nt","negative_control"
"ANKRD18DP","nt","negative_control"
"ZNF780B","nt","negative_control"
"RCC2","nt","negative_control"
"ZNF546","nt","negative_control"
"ZNF546","nt","negative_control"
"ZNF546","nt","negative_control"
"SLC37A4","nt","negative_control"
"SLC37A4","nt","negative_control"
"SLC37A4","nt","negative_control"
"BTG3","nt","negative_control"
"LRP6","nt","negative_control"
"DYRK1B","nt","negative_control"
"SURF6","nt","negative_control"
"SURF6","rs524137","candidate"
"SURF6","rs73660574","candidate"
"ZNF35","nt","negative_control"
"ZNF35","nt","negative_control"
