"Gene","gene_id","gene"
"MATK","ENSG00000007264","ENSG00000007264"
"ZFR2","ENSG00000105278","ENSG00000105278"
"FTLP5","ENSG00000266989","ENSG00000266989"
"ATCAY","ENSG00000167654","ENSG00000167654"
"NMRK2","ENSG00000077009","ENSG00000077009"
"DAPK3","ENSG00000167657","ENSG00000167657"
"EEF2","ENSG00000167658","ENSG00000167658"
"PIAS4","ENSG00000105229","ENSG00000105229"
"ZBTB7A","ENSG00000178951","ENSG00000178951"
"MAP2K2","ENSG00000126934","ENSG00000126934"
"CREB3L3","ENSG00000060566","ENSG00000060566"
"SIRT6","ENSG00000077463","ENSG00000077463"
"ANKRD24","ENSG00000089847","ENSG00000089847"
"EBI3","ENSG00000105246","ENSG00000105246"
"YJU2","ENSG00000105248","ENSG00000105248"
"SHD","ENSG00000105251","ENSG00000105251"
"TMIGD2","ENSG00000167664","ENSG00000167664"
"FSD1","ENSG00000105255","ENSG00000105255"
"STAP2","ENSG00000178078","ENSG00000178078"
"MPND","ENSG00000008382","ENSG00000008382"
"EIF1P6","ENSG00000267938","ENSG00000267938"
"SH3GL1","ENSG00000141985","ENSG00000141985"
"CHAF1A","ENSG00000167670","ENSG00000167670"
"UBXN6","ENSG00000167671","ENSG00000167671"
"HDGFL2","ENSG00000167674","ENSG00000167674"
"PLIN4","ENSG00000167676","ENSG00000167676"
"PLIN5","ENSG00000214456","ENSG00000214456"
"ENSG00000267385",NA,"ENSG00000267385"
"LRG1","ENSG00000171236","ENSG00000171236"
"SEMA6B","ENSG00000167680","ENSG00000167680"
"ENSG00000267408",NA,"ENSG00000267408"
"TNFAIP8L1","ENSG00000185361","ENSG00000185361"
"MYDGF","ENSG00000074842","ENSG00000074842"
"DPP9","ENSG00000142002","ENSG00000142002"
"FEM1A","ENSG00000141965","ENSG00000141965"
"TICAM1","ENSG00000127666","ENSG00000127666"
"PLIN3","ENSG00000105355","ENSG00000105355"
"ARRDC5","ENSG00000205784","ENSG00000205784"
"UHRF1","ENSG00000276043","ENSG00000276043"
"KDM4B","ENSG00000127663","ENSG00000127663"
"PTPRS","ENSG00000105426","ENSG00000105426"
"RPL32P34","ENSG00000239524","ENSG00000239524"
"ZNRF4","ENSG00000105428","ENSG00000105428"
"TINCR","ENSG00000223573","ENSG00000223573"
"SNRPEP4","ENSG00000233270","ENSG00000233270"
"SAFB2","ENSG00000130254","ENSG00000130254"
"SAFB","ENSG00000160633","ENSG00000160633"
"RPL36","ENSG00000130255","ENSG00000130255"
"MICOS13","ENSG00000174917","ENSG00000174917"
"HSD11B1L","ENSG00000167733","ENSG00000167733"
"LONP1","ENSG00000196365","ENSG00000196365"
"CATSPERD","ENSG00000174898","ENSG00000174898"
"PRR22","ENSG00000212123","ENSG00000212123"
"ENSG00000267157",NA,"ENSG00000267157"
"DUS3L","ENSG00000141994","ENSG00000141994"
"NRTN","ENSG00000171119","ENSG00000171119"
"FUT6","ENSG00000156413","ENSG00000156413"
"FUT3","ENSG00000171124","ENSG00000171124"
"FUT5","ENSG00000130383","ENSG00000130383"
"ENSG00000267740",NA,"ENSG00000267740"
"NDUFA11","ENSG00000174886","ENSG00000174886"
"ENSG00000267314",NA,"ENSG00000267314"
"VMAC","ENSG00000187650","ENSG00000187650"
"CAPS","ENSG00000105519","ENSG00000105519"
"RANBP3","ENSG00000031823","ENSG00000031823"
"RFX2","ENSG00000087903","ENSG00000087903"
"ENSG00000267589",NA,"ENSG00000267589"
"ACSBG2","ENSG00000130377","ENSG00000130377"
"ENSG00000267415",NA,"ENSG00000267415"
"ENSG00000284490",NA,"ENSG00000284490"
"MLLT1","ENSG00000130382","ENSG00000130382"
"ACER1","ENSG00000167769","ENSG00000167769"
"CLPP","ENSG00000125656","ENSG00000125656"
"ALKBH7","ENSG00000125652","ENSG00000125652"
"PSPN","ENSG00000125650","ENSG00000125650"
"GTF2F1","ENSG00000125651","ENSG00000125651"
"ENSG00000214347",NA,"ENSG00000214347"
"KHSRP","ENSG00000088247","ENSG00000088247"
"SLC25A41","ENSG00000181240","ENSG00000181240"
"SLC25A23","ENSG00000125648","ENSG00000125648"
"CRB3","ENSG00000130545","ENSG00000130545"
"DENND1C","ENSG00000205744","ENSG00000205744"
"TUBB4A","ENSG00000104833","ENSG00000104833"
"TNFSF9","ENSG00000125657","ENSG00000125657"
"ENSG00000268742",NA,"ENSG00000268742"
"CLIC4P2","ENSG00000269546","ENSG00000269546"
"CD70","ENSG00000125726","ENSG00000125726"
"RPL7P50","ENSG00000268785","ENSG00000268785"
"TNFSF14","ENSG00000125735","ENSG00000125735"
"C3","ENSG00000125730","ENSG00000125730"
"GPR108","ENSG00000125734","ENSG00000125734"
"TRIP10","ENSG00000125733","ENSG00000125733"
"SH2D3A","ENSG00000125731","ENSG00000125731"
"VAV1","ENSG00000141968","ENSG00000141968"
"ADGRE1","ENSG00000174837","ENSG00000174837"
"ENSG00000269385",NA,"ENSG00000269385"
"ADGRE4P","ENSG00000268758","ENSG00000268758"
"ENSG00000269761",NA,"ENSG00000269761"
"ENSG00000283679",NA,"ENSG00000283679"
"MBD3L2B","ENSG00000196589","ENSG00000196589"
"MBD3L5","ENSG00000237247","ENSG00000237247"
"MBD3L4","ENSG00000205718","ENSG00000205718"
"MBD3L2","ENSG00000230522","ENSG00000230522"
"MBD3L3","ENSG00000182315","ENSG00000182315"
"ZNF557","ENSG00000130544","ENSG00000130544"
"INSR","ENSG00000171105","ENSG00000171105"
"ENSG00000263264",NA,"ENSG00000263264"
"ENSG00000268861",NA,"ENSG00000268861"
"ARHGEF18","ENSG00000104880","ENSG00000104880"
"PEX11G","ENSG00000104883","ENSG00000104883"
"TEX45","ENSG00000198723","ENSG00000198723"
"ENSG00000267952",NA,"ENSG00000267952"
"ZNF358","ENSG00000198816","ENSG00000198816"
"MCOLN1","ENSG00000090674","ENSG00000090674"
"ENSG00000268614",NA,"ENSG00000268614"
"PNPLA6","ENSG00000032444","ENSG00000032444"
"CAMSAP3","ENSG00000076826","ENSG00000076826"
"XAB2","ENSG00000076924","ENSG00000076924"
"PET100","ENSG00000229833","ENSG00000229833"
"ENSG00000268400",NA,"ENSG00000268400"
"PCP2","ENSG00000174788","ENSG00000174788"
"STXBP2","ENSG00000076944","ENSG00000076944"
"RPS27AP19","ENSG00000269228","ENSG00000269228"
"RETN","ENSG00000104918","ENSG00000104918"
"MCEMP1","ENSG00000183019","ENSG00000183019"
"ENSG00000269711",NA,"ENSG00000269711"
"TRAPPC5","ENSG00000181029","ENSG00000181029"
"FCER2","ENSG00000104921","ENSG00000104921"
"CLEC4G","ENSG00000182566","ENSG00000182566"
"CD209","ENSG00000090659","ENSG00000090659"
"RPL21P129","ENSG00000242636","ENSG00000242636"
"CLEC4M","ENSG00000104938","ENSG00000104938"
"CLEC4GP1","ENSG00000268297","ENSG00000268297"
"EXOSC3P2","ENSG00000269763","ENSG00000269763"
"EVI5L","ENSG00000142459","ENSG00000142459"
"PRR36","ENSG00000183248","ENSG00000183248"
"LYPLA2P2","ENSG00000269153","ENSG00000269153"
"ENSG00000285674",NA,"ENSG00000285674"
"LRRC8E","ENSG00000171017","ENSG00000171017"
"MAP2K7","ENSG00000076984","ENSG00000076984"
"TGFBR3L","ENSG00000260001","ENSG00000260001"
"SNAPC2","ENSG00000104976","ENSG00000104976"
"CTXN1","ENSG00000178531","ENSG00000178531"
"TIMM44","ENSG00000104980","ENSG00000104980"
"ELAVL1","ENSG00000066044","ENSG00000066044"
"CCL25","ENSG00000131142","ENSG00000131142"
"FBN3","ENSG00000142449","ENSG00000142449"
"ENSG00000269651",NA,"ENSG00000269651"
"CERS4","ENSG00000090661","ENSG00000090661"
"CD320","ENSG00000167775","ENSG00000167775"
"ENSG00000167774",NA,"ENSG00000167774"
"NDUFA7","ENSG00000267855","ENSG00000267855"
"RPS28","ENSG00000233927","ENSG00000233927"
"KANK3","ENSG00000186994","ENSG00000186994"
"ENSG00000268884",NA,"ENSG00000268884"
"ANGPTL4","ENSG00000167772","ENSG00000167772"
"RAB11B","ENSG00000185236","ENSG00000185236"
"MARCHF2","ENSG00000099785","ENSG00000099785"
"HNRNPM","ENSG00000099783","ENSG00000099783"
"PRAM1","ENSG00000133246","ENSG00000133246"
"ZNF414","ENSG00000133250","ENSG00000133250"
"MYO1F","ENSG00000142347","ENSG00000142347"
"ADAMTS10","ENSG00000142303","ENSG00000142303"
"ENSG00000261866",NA,"ENSG00000261866"
"ACTL9","ENSG00000181786","ENSG00000181786"
"OR2Z1","ENSG00000181733","ENSG00000181733"
"RPL23AP78","ENSG00000269244","ENSG00000269244"
"ENSG00000268922",NA,"ENSG00000268922"
"ZNF558","ENSG00000167785","ENSG00000167785"
"MBD3L1","ENSG00000170948","ENSG00000170948"
"MUC16","ENSG00000181143","ENSG00000181143"
"BOLA3P2","ENSG00000267332","ENSG00000267332"
"OR1M4P","ENSG00000267154","ENSG00000267154"
"OR1M1","ENSG00000170929","ENSG00000170929"
"OR7G2","ENSG00000170923","ENSG00000170923"
"OR7G1","ENSG00000161807","ENSG00000161807"
"OR7G15P","ENSG00000275787","ENSG00000275787"
"OR7G3","ENSG00000170920","ENSG00000170920"
"ZNF317","ENSG00000130803","ENSG00000130803"
"OR7D2","ENSG00000188000","ENSG00000188000"
"ELOCP29","ENSG00000267418","ENSG00000267418"
